power,coefficient
t^0,0.9999999999999911
t^1,-1055.9999999999977
t^2,278256.0000000002
t^3,-32463200.000000022
t^4,2118223799.999999
t^5,-87779194271.99994
t^6,2501707036751.998
t^7,-51770019087071.92
t^8,808906548235499.2
t^9,-9826716585971996.0
t^10,9.49260822204895e+16
t^11,-7.421493700874634e+17
t^12,4.762125124727891e+18
t^13,-2.5360429658314203e+19
t^14,1.1308681388452353e+20
t^15,-4.252064202058085e+20
t^16,1.355345464406015e+21
t^17,-3.6767849276619914e+21
t^18,8.511076221439793e+21
t^19,-1.683354133547926e+22
t^20,2.844868485695995e+22
t^21,-4.102803530391504e+22
t^22,5.0352588782077554e+22
t^23,-5.235146281690483e+22
t^24,4.580752996479172e+22
t^25,-3.342117386231204e+22
t^26,2.0072480159909303e+22
t^27,-9.74713028341275e+21
t^28,3.7297692411018173e+21
t^29,-1.0821209213184822e+21
t^30,2.2363832373915297e+20
t^31,-2.932198625508145e+19
t^32,1.8326241409425907e+18
