X, T_numerical, T_analytical
0.000000,273.000000,273.000000
0.010101,374.721145,372.859791
0.020202,374.704095,373.000000
0.030303,374.687044,373.000000
0.040404,374.669994,373.000000
0.050505,374.652944,373.000000
0.060606,374.635893,373.000000
0.070707,374.618843,373.000000
0.080808,374.601793,373.000000
0.090909,374.584742,373.000000
0.101010,374.567692,373.000000
0.111111,374.550642,373.000000
0.121212,374.533591,373.000000
0.131313,374.516541,373.000000
0.141414,374.499491,373.000000
0.151515,374.482440,373.000000
0.161616,374.465390,373.000000
0.171717,374.448340,373.000000
0.181818,374.431289,373.000000
0.191919,374.414239,373.000000
0.202020,374.397189,373.000000
0.212121,374.380138,373.000000
0.222222,374.363088,373.000000
0.232323,374.346038,373.000000
0.242424,374.328987,373.000000
0.252525,374.311937,373.000000
0.262626,374.294887,373.000000
0.272727,374.277836,373.000000
0.282828,374.260786,373.000000
0.292929,374.243736,373.000000
0.303030,374.226685,373.000000
0.313131,374.209635,373.000000
0.323232,374.192585,373.000000
0.333333,374.175534,373.000000
0.343434,374.158484,373.000000
0.353535,374.141434,373.000000
0.363636,374.124384,373.000000
0.373737,374.107333,373.000000
0.383838,374.090283,373.000000
0.393939,374.073233,373.000000
0.404040,374.056182,373.000000
0.414141,374.039132,373.000000
0.424242,374.022082,373.000000
0.434343,374.005031,373.000000
0.444444,373.987981,373.000000
0.454545,373.970931,373.000000
0.464646,373.953880,373.000000
0.474747,373.936830,373.000000
0.484848,373.919780,373.000000
0.494949,373.902729,373.000000
0.505051,373.885679,373.000000
0.515152,373.868629,373.000000
0.525253,373.851578,373.000000
0.535354,373.834528,373.000000
0.545455,373.817478,373.000000
0.555556,373.800427,373.000000
0.565657,373.783377,373.000000
0.575758,373.766327,373.000000
0.585859,373.749276,373.000000
0.595960,373.732226,373.000000
0.606061,373.715176,373.000000
0.616162,373.698125,373.000000
0.626263,373.681075,373.000000
0.636364,373.664025,373.000000
0.646465,373.646974,373.000000
0.656566,373.629924,373.000000
0.666667,373.612874,373.000000
0.676768,373.595823,373.000000
0.686869,373.578773,373.000000
0.696970,373.561723,373.000000
0.707071,373.544672,373.000000
0.717172,373.527622,373.000000
0.727273,373.510572,373.000000
0.737374,373.493521,373.000000
0.747475,373.476471,373.000000
0.757576,373.459421,373.000000
0.767677,373.442370,373.000000
0.777778,373.425320,373.000000
0.787879,373.408270,373.000000
0.797980,373.391220,373.000000
0.808081,373.374169,373.000000
0.818182,373.357119,373.000000
0.828283,373.340069,373.000000
0.838384,373.323018,373.000000
0.848485,373.305968,373.000000
0.858586,373.288918,373.000000
0.868687,373.271867,373.000000
0.878788,373.254817,373.000000
0.888889,373.237767,373.000000
0.898990,373.220716,373.000000
0.909091,373.203666,373.000000
0.919192,373.186616,373.000000
0.929293,373.169565,373.000000
0.939394,373.152515,373.000000
0.949495,373.135465,373.000000
0.959596,373.118414,373.000000
0.969697,373.101364,373.000000
0.979798,373.084314,373.000000
0.989899,373.067263,373.000000
1.000000,373.050213,373.000000
